Epoch [1/500] | Time: 3.3s | Train Loss: 1.98814 | Val Loss: 1.85232 | Best: 1.85232
Epoch [5/500] | Time: 1.2s | Train Loss: 0.35715 | Val Loss: 0.17510 | Best: 0.17510
Epoch [10/500] | Time: 1.1s | Train Loss: 0.02509 | Val Loss: 0.08858 | Best: 0.01747
Epoch [15/500] | Time: 1.1s | Train Loss: 0.20688 | Val Loss: 0.02483 | Best: 0.01747
Epoch [20/500] | Time: 1.1s | Train Loss: 0.04803 | Val Loss: 0.01233 | Best: 0.01233
Epoch [25/500] | Time: 1.1s | Train Loss: 0.08565 | Val Loss: 0.02441 | Best: 0.00904
Epoch [30/500] | Time: 1.1s | Train Loss: 0.02682 | Val Loss: 0.00597 | Best: 0.00597
Epoch [35/500] | Time: 1.1s | Train Loss: 0.06680 | Val Loss: 0.00585 | Best: 0.00493
Epoch [40/500] | Time: 1.2s | Train Loss: 0.05501 | Val Loss: 0.02823 | Best: 0.00453
Epoch [45/500] | Time: 1.1s | Train Loss: 0.03563 | Val Loss: 0.00758 | Best: 0.00453
Epoch [50/500] | Time: 1.2s | Train Loss: 0.01097 | Val Loss: 0.01669 | Best: 0.00453
Epoch [55/500] | Time: 1.1s | Train Loss: 0.08167 | Val Loss: 0.03499 | Best: 0.00453
Epoch [60/500] | Time: 1.2s | Train Loss: 0.03904 | Val Loss: 0.03325 | Best: 0.00453
Epoch [65/500] | Time: 1.1s | Train Loss: 0.02223 | Val Loss: 0.01443 | Best: 0.00453
Epoch [70/500] | Time: 1.2s | Train Loss: 0.07449 | Val Loss: 0.01630 | Best: 0.00453
Epoch [75/500] | Time: 1.1s | Train Loss: 0.04252 | Val Loss: 0.02417 | Best: 0.00453
Epoch [80/500] | Time: 1.1s | Train Loss: 0.02157 | Val Loss: 0.01400 | Best: 0.00453
Epoch [85/500] | Time: 1.1s | Train Loss: 0.05726 | Val Loss: 0.01445 | Best: 0.00453
Epoch [90/500] | Time: 1.1s | Train Loss: 0.06238 | Val Loss: 0.01826 | Best: 0.00453
Epoch [95/500] | Time: 1.2s | Train Loss: 0.07508 | Val Loss: 0.01826 | Best: 0.00453
Epoch [100/500] | Time: 1.1s | Train Loss: 0.07674 | Val Loss: 0.02821 | Best: 0.00453
Epoch [105/500] | Time: 1.1s | Train Loss: 0.02766 | Val Loss: 0.01688 | Best: 0.00453
Epoch [110/500] | Time: 1.2s | Train Loss: 0.05674 | Val Loss: 0.01137 | Best: 0.00453
Epoch [115/500] | Time: 1.2s | Train Loss: 0.02193 | Val Loss: 0.00556 | Best: 0.00453
Epoch [120/500] | Time: 0.1s | Train Loss: 0.05458 | Val Loss: 0.01439 | Best: 0.00453
Epoch [125/500] | Time: 1.1s | Train Loss: 0.06091 | Val Loss: 0.00934 | Best: 0.00453
Epoch [130/500] | Time: 1.2s | Train Loss: 0.12246 | Val Loss: 0.00569 | Best: 0.00453
Epoch [135/500] | Time: 1.1s | Train Loss: 0.06656 | Val Loss: 0.00795 | Best: 0.00453
Epoch [140/500] | Time: 1.1s | Train Loss: 0.05481 | Val Loss: 0.00841 | Best: 0.00453
Epoch [145/500] | Time: 1.1s | Train Loss: 0.05459 | Val Loss: 0.00919 | Best: 0.00453
Epoch [150/500] | Time: 1.1s | Train Loss: 0.04871 | Val Loss: 0.00974 | Best: 0.00453
Epoch [155/500] | Time: 1.2s | Train Loss: 0.05393 | Val Loss: 0.00844 | Best: 0.00453
Epoch [160/500] | Time: 1.1s | Train Loss: 0.03018 | Val Loss: 0.00754 | Best: 0.00453
Epoch [165/500] | Time: 1.1s | Train Loss: 0.09846 | Val Loss: 0.00673 | Best: 0.00453
Epoch [170/500] | Time: 1.1s | Train Loss: 0.07152 | Val Loss: 0.00815 | Best: 0.00453
Epoch [175/500] | Time: 1.1s | Train Loss: 0.03848 | Val Loss: 0.00943 | Best: 0.00453
Epoch [180/500] | Time: 1.1s | Train Loss: 0.01294 | Val Loss: 0.01163 | Best: 0.00453
Epoch [185/500] | Time: 1.2s | Train Loss: 0.06302 | Val Loss: 0.01374 | Best: 0.00453
Epoch [190/500] | Time: 1.1s | Train Loss: 0.01715 | Val Loss: 0.01193 | Best: 0.00453
Epoch [195/500] | Time: 1.2s | Train Loss: 0.01422 | Val Loss: 0.01099 | Best: 0.00453
Epoch [200/500] | Time: 1.1s | Train Loss: 0.05924 | Val Loss: 0.01020 | Best: 0.00453
Epoch [205/500] | Time: 0.1s | Train Loss: 0.04700 | Val Loss: 0.00927 | Best: 0.00453
Epoch [210/500] | Time: 1.1s | Train Loss: 0.03292 | Val Loss: 0.00896 | Best: 0.00453
Epoch [215/500] | Time: 1.1s | Train Loss: 0.04307 | Val Loss: 0.01244 | Best: 0.00453
Epoch [220/500] | Time: 1.2s | Train Loss: 0.02052 | Val Loss: 0.01788 | Best: 0.00453
Epoch [225/500] | Time: 1.1s | Train Loss: 0.01849 | Val Loss: 0.01314 | Best: 0.00453
Epoch [230/500] | Time: 1.1s | Train Loss: 0.07385 | Val Loss: 0.00959 | Best: 0.00453
Epoch [235/500] | Time: 1.2s | Train Loss: 0.03741 | Val Loss: 0.01011 | Best: 0.00453
Epoch [240/500] | Time: 1.2s | Train Loss: 0.02694 | Val Loss: 0.01124 | Best: 0.00453
Epoch [245/500] | Time: 1.1s | Train Loss: 0.02160 | Val Loss: 0.01343 | Best: 0.00453
Epoch [250/500] | Time: 1.2s | Train Loss: 0.00717 | Val Loss: 0.01567 | Best: 0.00453
Epoch [255/500] | Time: 1.1s | Train Loss: 0.03944 | Val Loss: 0.01632 | Best: 0.00453
Epoch [260/500] | Time: 1.1s | Train Loss: 0.04284 | Val Loss: 0.01265 | Best: 0.00453
Epoch [265/500] | Time: 1.2s | Train Loss: 0.03077 | Val Loss: 0.01038 | Best: 0.00453
Epoch [270/500] | Time: 1.2s | Train Loss: 0.03275 | Val Loss: 0.01010 | Best: 0.00453
Epoch [275/500] | Time: 1.1s | Train Loss: 0.05233 | Val Loss: 0.00987 | Best: 0.00453
Epoch [280/500] | Time: 1.1s | Train Loss: 0.05648 | Val Loss: 0.00959 | Best: 0.00453
Epoch [285/500] | Time: 1.1s | Train Loss: 0.02711 | Val Loss: 0.00997 | Best: 0.00453
Epoch [290/500] | Time: 1.1s | Train Loss: 0.04178 | Val Loss: 0.01041 | Best: 0.00453
Epoch [295/500] | Time: 1.2s | Train Loss: 0.05045 | Val Loss: 0.00958 | Best: 0.00453
Epoch [300/500] | Time: 1.2s | Train Loss: 0.04700 | Val Loss: 0.00903 | Best: 0.00453
Epoch [305/500] | Time: 1.1s | Train Loss: 0.04633 | Val Loss: 0.00841 | Best: 0.00453
Epoch [310/500] | Time: 1.1s | Train Loss: 0.06814 | Val Loss: 0.00822 | Best: 0.00453
Epoch [315/500] | Time: 1.1s | Train Loss: 0.04431 | Val Loss: 0.00836 | Best: 0.00453
Epoch [320/500] | Time: 1.1s | Train Loss: 0.00734 | Val Loss: 0.00813 | Best: 0.00453
Epoch [325/500] | Time: 1.2s | Train Loss: 0.01327 | Val Loss: 0.00750 | Best: 0.00453
Epoch [330/500] | Time: 1.1s | Train Loss: 0.02008 | Val Loss: 0.00690 | Best: 0.00453
Epoch [335/500] | Time: 1.1s | Train Loss: 0.03564 | Val Loss: 0.00657 | Best: 0.00453
Epoch [340/500] | Time: 1.1s | Train Loss: 0.06393 | Val Loss: 0.00719 | Best: 0.00453
